Well.x,SAMPLE,GENE.x,brain.region,CT,CT.MEAN,CT.SD,Well.y,GENE.y,actb._C,actb.mean,actb.SD,Nest.id,ABC,Location,Treatment,Date,Age,Habitat,Cowbird,Tarsus.1,Tarsus.2,Tarsus.3,Tarsus.4,Tarsus.5,Tarsus.avg,Wing.Chord.1,Wing.Chord.2,Wing.Chord.3,Wing.Chord.4,Wing.Chord.5,Wing.chord.avg.,Bill.w,Bill.d,Bill.l,Pin,Feather,Pin.b,Tail.pin,Tail.feather,Measurer,Mass,delta.ct,delta.ctmean,dd.ct,RQ
C11,HP-5,GR,HP,27.09318352,27.23512077,0.200729594,A9,ACTB,19.09483528,19.11712837,0.031527191,01IJV22,A,SVT,Urban,5/15/22,5,Urban,No,16.28,16.37,15.52,15.67,15.5,15.868,18.84,18.87,19.43,18.79,19.36,19.058,3.87,3.35,4.34,8.02,0.3,7.77,2.49,0.64,DSM,9.9,8.1179924,7.707023524,0.410968876,0.752118101
A3,HP-50,MR,HP,25.70239639,25.686203,0.022900911,A3,ACTB,18.84665298,18.84734726,0.000980504,03CMT22,B,RAD,Urban,6/5/22,6,Urban,No,18.73,18.41,18.29,17.77,18.56,18.352,25.09,24.73,24.48,25.24,25.17,24.942,3.62,4.06,4.39,12.6,1.06,11.52,4.31,NA,NM,12.9,6.83885574,5.779763412,1.059092329,0.479933915
C5,HP-50,GR,HP,26.21619987,26.09465218,0.171894401,A3,ACTB,18.84665298,18.84734726,0.000980504,03CMT22,B,RAD,Urban,6/5/22,6,Urban,No,18.73,18.41,18.29,17.77,18.56,18.352,25.09,24.73,24.48,25.24,25.17,24.942,3.62,4.06,4.39,12.6,1.06,11.52,4.31,NA,NM,12.9,7.24730492,7.707023524,-0.459718604,1.375273546
A5,HP-51,MR,HP,25.41455078,25.35228348,0.088060617,A5,ACTB,18.68806076,18.79878998,0.156593412,23IJV22,B,STREAM,Rural,6/9/22,6,Rural,No,19.25,19.38,19.2,18.99,18.95,19.154,25.99,26.23,26.15,25.88,26.5,26.15,4.68,4.01,5.91,12.76,0.25,12.57,3.79,1.07,DSM,5.1,6.5534935,5.779763412,0.773730089,0.58490325
C7,HP-51,GR,HP,27.01450539,27.0063591,0.011519239,A5,ACTB,18.68806076,18.79878998,0.156593412,23IJV22,B,STREAM,Rural,6/9/22,6,Rural,No,19.25,19.38,19.2,18.99,18.95,19.154,25.99,26.23,26.15,25.88,26.5,26.15,4.68,4.01,5.91,12.76,0.25,12.57,3.79,1.07,DSM,5.1,8.20756912,7.707023524,0.500545596,0.706839419
A7,HP-52,MR,HP,24.90871429,24.86976051,0.055088967,A7,ACTB,18.29167557,18.27337265,0.025884233,17TEF22,B,STREAM,Rural,6/4/22,6,Rural,No,20.33,20.3,20.96,20.18,20.37,20.428,24.43,24.5,23.82,23.8,23.85,24.08,4.06,4.17,3.94,10.51,0.3,10.08,3.78,1.22,DSM,11.3,6.59638786,5.779763412,0.816624449,0.567768829
C9,HP-52,GR,HP,26.05379105,25.98839569,0.092484348,A7,ACTB,18.29167557,18.27337265,0.025884233,17TEF22,B,STREAM,Rural,6/4/22,6,Rural,No,20.33,20.3,20.96,20.18,20.37,20.428,24.43,24.5,23.82,23.8,23.85,24.08,4.06,4.17,3.94,10.51,0.3,10.08,3.78,1.22,DSM,11.3,7.71502304,7.707023524,0.007999516,0.994470502
A9,HP-53,MR,HP,24.66905022,24.62792778,0.058155909,A9,ACTB,18.46993828,18.38837051,0.115352891,03CMT22,A,RAD,Urban,6/5/22,6,Urban,No,19.4,18.83,19.06,18.65,18.71,18.93,26.29,25.91,26.02,25.5,25.34,25.812,3.73,3.79,4.82,13.16,0.58,12.44,4.13,0.33,DSM,13.6,6.23955727,5.779763412,0.459793858,0.727090143
C11,HP-53,GR,HP,26.86898613,26.96603966,0.137254417,A9,ACTB,18.46993828,18.38837051,0.115352891,03CMT22,A,RAD,Urban,6/5/22,6,Urban,No,19.4,18.83,19.06,18.65,18.71,18.93,26.29,25.91,26.02,25.5,25.34,25.812,3.73,3.79,4.82,13.16,0.58,12.44,4.13,0.33,DSM,13.6,8.57766915,7.707023524,0.870645626,0.54690205
A11,HP-54,MR,HP,24.87687302,24.8878212,0.015481718,A11,ACTB,18.28304672,18.2974968,0.02043549,13SJL22,A,STREAM,Rural,6/9/22,6,Rural,No,17.25,17.18,17.5,17.79,17.47,17.438,21.03,20.62,20.87,20.89,20.49,20.78,3.69,3.94,4.61,9.08,NA,NA,2.16,NA,NM,11.1,6.5903244,5.779763412,0.810560989,0.570160109
D1,HP-54,GR,HP,25.53269768,25.33675385,0.277105063,A11,ACTB,18.28304672,18.2974968,0.02043549,13SJL22,A,STREAM,Rural,6/9/22,6,Rural,No,17.25,17.18,17.5,17.79,17.47,17.438,21.03,20.62,20.87,20.89,20.49,20.78,3.69,3.94,4.61,9.08,NA,NA,2.16,NA,NM,11.1,7.03925705,7.707023524,-0.667766474,1.588611634
B1,HP-55,MR,HP,25.59012985,25.53636169,0.076039657,B1,ACTB,18.75045204,18.64870262,0.143895403,02JAG22,B,RAD,Urban.BHCO,6/4/22,6,Urban,Yes,20.32,20.19,20.2,20.08,20.17,20.192,27.89,27.63,28.17,27.73,27.58,27.8,4.53,3.73,4.33,13.22,1.13,12.28,4.31,NA,NM,15.6,6.88765907,5.779763412,1.107895659,0.463970293
D3,HP-55,GR,HP,25.67633247,25.68354034,0.010193468,B1,ACTB,18.75045204,18.64870262,0.143895403,02JAG22,B,RAD,Urban.BHCO,6/4/22,6,Urban,Yes,20.32,20.19,20.2,20.08,20.17,20.192,27.89,27.63,28.17,27.73,27.58,27.8,4.53,3.73,4.33,13.22,1.13,12.28,4.31,NA,NM,15.6,7.03483772,7.707023524,-0.672185804,1.593485404
B3,HP-56,MR,HP,24.25774956,24.24114037,0.023488944,B3,ACTB,18.16202545,18.12872124,0.047099274,10TEF22,B,RAD,Urban.BHCO,6/4/22,6,Urban,Yes,16.51,16.34,16.59,16.16,16.37,16.394,19.98,19.93,20.06,19.75,20,19.944,4.27,3.94,4.55,9.74,0.37,9.21,2.54,0.4,DSM,9.3,6.11241913,5.779763412,0.332655718,0.794073404
D5,HP-56,GR,HP,27.24738503,27.15720367,0.127537042,B3,ACTB,18.16202545,18.12872124,0.047099274,10TEF22,B,RAD,Urban.BHCO,6/4/22,6,Urban,Yes,16.51,16.34,16.59,16.16,16.37,16.394,19.98,19.93,20.06,19.75,20,19.944,4.27,3.94,4.55,9.74,0.37,9.21,2.54,0.4,DSM,9.3,9.02848243,7.707023524,1.321458906,0.400130108
F9,HP-57,MR,HP,26.17635536,26.17004013,0.008931085,F11,ACTB,18.81660271,18.87845802,0.087476626,17TEF22,A,STREAM,Rural,6/4/22,6,Rural,No,18.47,17.97,17.72,18.01,17.84,18.002,22.98,23.45,22.83,22.51,22.64,22.882,4.23,3.84,4.88,11.19,NA,NA,3.54,NA,NM,14.2,7.29158211,5.779763412,1.511818699,0.350668878
D7,HP-57,GR,HP,26.00279999,26.10698891,0.147345379,F11,ACTB,18.81660271,18.87845802,0.087476626,17TEF22,A,STREAM,Rural,6/4/22,6,Rural,No,18.47,17.97,17.72,18.01,17.84,18.002,22.98,23.45,22.83,22.51,22.64,22.882,4.23,3.84,4.88,11.19,NA,NA,3.54,NA,NM,14.2,7.22853089,7.707023524,-0.478492634,1.393287162
B7,HP-58,MR,HP,24.06366348,23.95011139,0.160585567,B7,ACTB,18.15000916,18.17635918,0.037264559,10TEF22,A,RAD,Urban.BHCO,6/4/22,6,Urban,Yes,16.58,17.37,17.57,16.51,15.85,16.776,17.22,16.98,16.98,16.8,16.62,16.92,3.79,3.94,3.91,6.63,0,6.63,1.34,0,DSM,7,5.77375221,5.779763412,-0.006011201,1.00417534
D9,HP-58,GR,HP,26.87457275,26.79117203,0.117947787,B7,ACTB,18.15000916,18.17635918,0.037264559,10TEF22,A,RAD,Urban.BHCO,6/4/22,6,Urban,Yes,16.58,17.37,17.57,16.51,15.85,16.776,17.22,16.98,16.98,16.8,16.62,16.92,3.79,3.94,3.91,6.63,0,6.63,1.34,0,DSM,7,8.61481285,7.707023524,0.907789326,0.533001195
B9,HP-59,MR,HP,24.45659065,24.44892502,0.010842193,B9,ACTB,18.26242638,18.16283798,0.140840605,19TEF22,A,SVT,Urban.BHCO,6/12/22,6,Urban,Yes,18.13,18.03,18.4,18.25,17.99,18.16,24.81,25.08,24.93,25.01,25.29,25.024,4.44,4.8,4.72,11.52,0.3,11.33,2.28,0.69,DSM,14.3,6.28608704,5.779763412,0.506323629,0.70401417
D11,HP-59,GR,HP,26.9358139,26.96117973,0.035872702,B9,ACTB,18.26242638,18.16283798,0.140840605,19TEF22,A,SVT,Urban.BHCO,6/12/22,6,Urban,Yes,18.13,18.03,18.4,18.25,17.99,18.16,24.81,25.08,24.93,25.01,25.29,25.024,4.44,4.8,4.72,11.52,0.3,11.33,2.28,0.69,DSM,14.3,8.79834175,7.707023524,1.091318226,0.469332338
A11,HP-6,MR,HP,24.92211533,24.96035576,0.05408014,A11,ACTB,19.05620575,19.08502197,0.040752295,04CMT22,B,SVT,Urban.BHCO,6/21/22,9,Urban,Yes,20.43,20.17,20.29,20.45,20.43,20.354,33.92,33.88,33.62,34.4,34.44,34.052,5,3.99,6.07,21.61,10.47,11.85,7.35,2.1,DSM,14.1,5.87533379,5.779763412,0.095570378,0.93590216
A1,HP-6,GR,HP,25.53415298,25.40546417,0.087637939,A11,ACTB,19.05620575,19.08502197,0.040752295,04CMT22,B,SVT,Urban.BHCO,6/21/22,9,Urban,Yes,20.43,20.17,20.29,20.45,20.43,20.354,33.92,33.88,33.62,34.4,34.44,34.052,5,3.99,6.07,21.61,10.47,11.85,7.35,2.1,DSM,14.1,6.3204422,7.707023524,-1.386581324,2.614583824
B11,HP-60,MR,HP,25.50998116,25.46081543,0.069529489,B11,ACTB,18.11667252,18.09295654,0.033539452,23IJV22,A,STREAM,Rural,6/9/22,6,Rural,No,14.63,14.6,14.62,14.16,14.33,14.468,16.29,15.7,15.55,15.79,16.02,15.87,3.23,2.94,2.71,4.98,NA,NA,1.88,NA,NM,10.4,7.36785889,5.779763412,1.588095479,0.332610247
B1,HP-60,GR,HP,26.74769211,26.84455299,0.136981979,B11,ACTB,18.11667252,18.09295654,0.033539452,23IJV22,A,STREAM,Rural,6/9/22,6,Rural,No,14.63,14.6,14.62,14.16,14.33,14.468,16.29,15.7,15.55,15.79,16.02,15.87,3.23,2.94,2.71,4.98,NA,NA,1.88,NA,NM,10.4,8.75159645,7.707023524,1.044572926,0.484788397
C1,HP-61,MR,HP,26.07640457,26.0917263,0.021668201,C1,ACTB,18.00468826,17.97751999,0.038423091,02JAG22,A,RAD,Urban.BHCO,6/4/22,6,Urban,Yes,16.92,16.64,16.52,16.19,16.17,16.488,22.45,21.73,21.7,21.44,21.59,21.782,4.27,4.13,4.89,8.52,0,8.52,2.14,1.06,DSM,12.1,8.11420631,5.779763412,2.334442899,0.198272583
E3,HP-61,GR,HP,26.13023949,26.21917915,0.125779688,C1,ACTB,18.00468826,17.97751999,0.038423091,02JAG22,A,RAD,Urban.BHCO,6/4/22,6,Urban,Yes,16.92,16.64,16.52,16.19,16.17,16.488,22.45,21.73,21.7,21.44,21.59,21.782,4.27,4.13,4.89,8.52,0,8.52,2.14,1.06,DSM,12.1,8.24165916,7.707023524,0.534635636,0.690333004
B1,HP-7,MR,HP,25.30713272,25.18818283,0.168221891,B1,ACTB,19.01239395,18.98736382,0.035397958,17IJV22,A,NVT,Urban.BHCO,5/12/22,6,Urban,Yes,14.69,14.65,14.93,14.85,14.36,14.696,18.84,18.8,18.46,18.73,18.69,18.704,3.8,3.17,4.05,7.32,NA,NA,1.34,NA,NM,NA,6.20081901,5.779763412,0.421055599,0.746877945
D3,HP-7,GR,HP,25.38967705,25.36416054,0.036085796,B1,ACTB,19.01239395,18.98736382,0.035397958,17IJV22,A,NVT,Urban.BHCO,5/12/22,6,Urban,Yes,14.69,14.65,14.93,14.85,14.36,14.696,18.84,18.8,18.46,18.73,18.69,18.704,3.8,3.17,4.05,7.32,NA,NA,1.34,NA,NM,NA,6.37679672,7.707023524,-1.330226804,2.514422007
B3,HP-8,MR,HP,23.25724792,23.26725006,0.014145156,B3,ACTB,18.23506355,18.22040939,0.02072411,09CMT22,A,NVT,Urban.BHCO,6/1/22,6,Urban,Yes,18.17,17.47,17.7,17.52,17.48,17.668,23.98,23.51,23.27,23.69,23.81,23.652,2.89,3.21,3.84,12.1,1.15,10.18,3.15,NA,NM,11.8,5.04684067,5.779763412,-0.732922742,1.662002718
D5,HP-8,GR,HP,25.88419533,26.01507187,0.185086027,B3,ACTB,18.23506355,18.22040939,0.02072411,09CMT22,A,NVT,Urban.BHCO,6/1/22,6,Urban,Yes,18.17,17.47,17.7,17.52,17.48,17.668,23.98,23.51,23.27,23.69,23.81,23.652,2.89,3.21,3.84,12.1,1.15,10.18,3.15,NA,NM,11.8,7.79466248,7.707023524,0.087638956,0.941061585
B5,HP-9,MR,HP,27.7637825,27.54411316,0.31066072,B5,ACTB,21.48153114,21.45167923,0.042216983,04SJL22,B,NVT,Urban,5/19/22,7,Urban,No,17.43,17.38,17.73,17.61,17.54,17.538,23.07,23.36,23.42,23.24,23.38,23.294,3.63,4.51,4.41,12.23,0.75,11.88,13.36,0.84,MSP,12.5,6.09243393,5.779763412,0.312670518,0.805149996
D7,HP-9,GR,HP,31.05481148,30.85860634,0.277475983,B5,ACTB,21.48153114,21.45167923,0.042216983,04SJL22,B,NVT,Urban,5/19/22,7,Urban,No,17.43,17.38,17.73,17.61,17.54,17.538,23.07,23.36,23.42,23.24,23.38,23.294,3.63,4.51,4.41,12.23,0.75,11.88,13.36,0.84,MSP,12.5,9.40692711,7.707023524,1.699903586,0.307806673
